Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Law Enforcement-Suspicious Package,1011 1 Avenue,Manhattan,41979.41681,41979.49134,40.7573012,-73.96367804
Fire-3rd Alarm,2664 Grand Concourse,bronx,41976.67436,41979.47928,40.86637661,-73.89389472
Fire-2nd Alarm,709 East 133 Street,Bronx,41977.49985,41977.68353,,
Fire-Collapse,316 West 135th Street,Manhattan,41971.5148,41977.65872,40.81685877,-73.94747137
Fire-2nd Alarm,745 5th Avenue,Manhattan,41977.51936,41977.64576,40.76331921,-73.97366341
Fire-3rd Alarm,2649 East 23rd Street,Brooklyn,41971.03203,41976.4978,40.58758263,-73.94653352
Fire-2nd Alarm,119 Jackson Avenue,Staten Island,41976.35196,41976.4764,40.59523313,-74.06517875
Fire-1st Alarm,132-15 218th Street,Queens,41976.23175,41976.3963,40.68209963,-73.74988332
Fire-2nd Alarm,612 West 184th Street,Manhattan,41976.13157,41976.34947,40.85134895,-73.93316161
Fire-2nd Alarm,123 East 54th Street,Manhattan,41969.2699,41973.91793,40.75934419,-73.97128287
Fire-2nd Alarm,1760 Brooklyn Avenue,Brooklyn,41972.63563,41972.73777,40.63014317,-73.94161587
Fire-4th Alarm,3210 Hull Avenue,Bronx,41962.59888,41972.57468,40.87435868,-73.8762171
Fire-Haz Mat,2465 Broadway,Manhattan,41967.76683,41969.45416,40.7918279,-73.97397613
Medical-EMS MCI (Multiple Casualty Incident),Forsyth Street & Canal Street,Brooklyn,41968.80373,41968.88707,40.715622,-73.994283
Fire-2nd Alarm,1681 Flatbush Avenue,Brooklyn,41968.60322,41968.70455,40.6292163,-73.94384278
Fire-10-76 (Commercial High Rise Fire),21 West 39 Street,Manhattan,41967.54965,41967.69988,40.75218821,-73.98367039
Fire-2nd Alarm,45 Edgewater Place,Bronx,41965.92479,41966.02576,40.81932418,-73.88386755
Fire-3rd Alarm,35 Sprague Avenue,Staten Island,41964.09071,41965.00749,40.51070939,-74.23995856
Fire-2nd Alarm,154 hillside ave,Staten Island,41964.72815,41964.89123,40.61655733,-74.08956182
Fire-Other,,Brooklyn,41963.52568,41963.6006,,
Fire-Other,,Brooklyn,41963.32035,41963.55853,,
Fire-Other,,Brooklyn,41963.31431,41963.36333,,
Fire-Other,,Brooklyn,41963.31741,41963.32836,,
Law Enforcement-Suspicious Package,323 East 44 Street,Manhattan,41962.72296,41962.7613,40.75054619,-73.96981935
Fire-Manhole,645 Broadway,New York City,41961.76372,41962.40063,40.72670563,-73.99573397
Law Enforcement-Device,900 Fteley Avenue,Bronx,41961.39333,41961.4053,40.82308763,-73.87005751
Fire-2nd Alarm,274 West 238th Street,Bronx,41960.58905,41960.69122,40.88546931,-73.90163708
Law Enforcement-Other,1895 2nd Avenue,Manhattan,41960.63531,41960.6478,40.7857644,-73.94606648
Fire-Explosion,,Brooklyn,41958.40859,41958.46848,,
Law Enforcement-Suspicious Package,,Queens,41957.38515,41957.4572,40.65146825,-73.78624344
Fire-10-76 (Commercial High Rise Fire),18 East 17 Street,Manhattan,41956.67485,41956.73017,40.73743684,-73.99120219
Fire-2nd Alarm,102-11 189 Streer,Queens,41955.95965,41956.08885,40.70785871,-73.76863757
Fire-3rd Alarm,2922 Barnes Avenue,Bronx,41955.56208,41955.65231,40.86871066,-73.86338621
Law Enforcement-Suspicious Package,2 East 55 Street,Manhattan,41953.83231,41953.86066,40.76141381,-73.97437458
Fire-Hospital,630 W. 168th Street,Manhattan,41952.76418,41953.21396,40.84166675,-73.94127195
Fire-2nd Alarm,730 East 236 Street,Bronx,41951.45898,41951.74693,40.89522832,-73.85503223
Law Enforcement-Suspicious Package,52-18 Roosevelt Avenue,Queens,41949.63183,41951.23179,40.74429834,-73.91196234
Fire-2nd Alarm,37 jewel street,Brooklyn,41950.51615,41950.65988,40.7257793,-73.94601234
Fire-2nd Alarm,127 Ashford Street,Brooklyn,41950.23616,41950.34888,40.67969191,-73.88645267
Law Enforcement-Other,32-37 Junction Boulevard,Queens,41940.69159,41949.72627,40.75757832,-73.87404425
Law Enforcement-Suspicious Package,160 w 77 street,Manhattan,41947.75238,41947.78331,40.78148373,-73.97852077
Law Enforcement-Suspicious Package,7107 Narrows Avenue,Brooklyn,41946.79826,41946.86001,40.63582888,-74.03479963
Law Enforcement-Suspicious Package,,Brooklyn,41945.73503,41945.81728,,
Law Enforcement-Suspicious Package,9 MetroTech,Brooklyn,41944.35808,41944.3834,40.69484053,-73.984523
Law Enforcement-Device,105 East 42nd Street,Manhattan,41942.48987,41942.53003,40.75218756,-73.97755276
Fire-10-76 (Commercial High Rise Fire),330 west 42 street,New York City,41941.68155,41941.77873,40.7580828,-73.99191506
Law Enforcement-Other,620 8th Avenue,Manhattan,41940.86873,41940.91388,40.75625413,-73.99045406
