Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-2nd Alarm,22 Folsom Place,Brooklyn,41386.00272,41386.12635,40.67934318,-73.88270596
Law Enforcement-Suspicious Package,934 5th Avenue,Manhattan,41385.72884,41385.7415,40.71442154,-74.00607638
Fire-2nd Alarm,986 Gates Avenue,Brooklyn,41385.25782,41385.37815,40.68922341,-73.92428754
Fire-2nd Alarm,1615 Putnam Avenue,Queens,41383.61979,41384.10767,40.71400364,-73.82998933
Fire-2nd Alarm,92 Manhattan Avenue,Brooklyn,41383.77061,41383.84257,40.70542666,-73.94458531
Fire-Manhole,648 45 Street,Brooklyn,41382.80238,41382.89184,40.64581544,-74.0040252
Law Enforcement-Haz Mat,150 dreiser loop,Bronx,41376.97402,41382.7644,40.87685686,-73.82979889
Law Enforcement-Mobilization,5800 Tilden Avenue,Brooklyn,41382.55462,41382.61946,40.6486337,-73.92230847
Fire-Commercial,90-15 Queens Blvd,Queens,41381.75498,41381.81206,40.71400364,-73.82998933
Fire-10-76 (Commercial High Rise Fire),444 East 38 Stret,Manhattan,41381.63,41381.70845,,
Fire-2nd Alarm,2582 briggs ave,bronx,41379.64642,41380.41206,40.86382269,-73.89349297
Law Enforcement-Suspicious Package,JFK Airport,Queens,41378.69977,41378.76297,40.64513946,-73.74029082
Fire-2nd Alarm,380 East 18th Street,Brooklyn,41377.60727,41378.27899,40.64199365,-73.96170584
Law Enforcement-Other,,Manhattan,41377.79081,41378.27727,,
Fire-2nd Alarm,3801 Nautilus Avenue,Brooklyn,41376.03041,41376.1452,40.57591838,-74.00561266
Fire-Haz Mat,1027 College Avenue,Bronx,41373.94076,41373.96352,40.82929725,-73.91545979
Fire-10-76 (Commercial High Rise Fire),1 Pace Plaza,Manhattan,41372.63831,41373.00897,40.71442154,-74.00607638
Fire-3rd Alarm,115 East 138 Street,Bronx,41372.03731,41372.93631,,
Fire-2nd Alarm,49-11 69th Street,Queens,41371.95163,41372.0595,40.71400364,-73.82998933
Fire-2nd Alarm,,Brooklyn,41370.93141,41370.99334,,
Fire-2nd Alarm,1242 Croes Avenue,Bronx,41370.51203,41370.60987,40.83082876,-73.8709061
Medical-Other,West 48 Street & 10 Avenue,Manhattan,41369.62146,41369.73306,40.71442154,-74.00607638
Fire-Other,239 West 72nd Street,Manhattan,41369.47428,41369.48726,40.71442154,-74.00607638
Fire-2nd Alarm,420 Bronx Park Avenue,Bronx,41368.64323,41369.28787,40.84037215,-73.87528384
Fire-Other,610 8 Avenue,Manhattan,41368.80185,41368.87877,40.71442154,-74.00607638
Fire-3rd Alarm,7 East 84 Street,Manhattan,41346.12815,41368.60681,40.71442154,-74.00607638
Fire-1st Alarm,826 Broadway,Manhattan,41363.33142,41367.45638,40.71442154,-74.00607638
Fire-1st Alarm,44 West 63 Street,Manhattan,41367.14829,41367.21916,40.71442154,-74.00607638
Fire-2nd Alarm,250 East 176 Street,Bronx,41367.09021,41367.15267,40.84739333,-73.90490355
Law Enforcement-Suspicious Package,77 5th Avenue,Manhattan,41357.04192,41366.53384,40.71442154,-74.00607638
Fire-Other,172 wythe ave,Brooklyn,41364.72889,41365.68859,40.71935246,-73.96067201
Law Enforcement-Device,,Staten Island,41365.18211,41365.20267,,
Fire-Haz Mat,997 Kelly Street,bronx,41362.99497,41363.17484,40.82292062,-73.89589631
Fire-1st Alarm,554 East 26 Street,Brooklyn,41362.89641,41362.9828,40.63702382,-73.95270558
Fire-10-76 (Commercial High Rise Fire),425 West 15th Street,Manhattan,41360.51698,41360.56894,,
Fire-1st Alarm,111 N 12 Street,Brooklyn,41358.77645,41358.7999,,
Law Enforcement-Other,64-14 65 Street,Queens,41358.61939,41358.65609,40.71400364,-73.82998933
Fire-Other,East 58  & 1st Avenue,Manhattan,41356.38839,41356.45523,40.71442154,-74.00607638
Fire-2nd Alarm,101 Brightwater Court,Brooklyn,41355.26991,41355.37102,40.57553842,-73.96643091
Fire-Other,West 31 Street  & 7 Avenue,Manhattan,41355.01872,41355.34966,40.71442154,-74.00607638
Fire-2nd Alarm,961 Willoughby Avenue,Brooklyn,41354.85248,41354.87995,40.69796491,-73.93046604
Fire-7th Alarm,110-14 Liberty Avenue,Queens,41336.96796,41352.53155,40.71400364,-73.82998933
Fire-Other,2280 Grand Avenue,Bronx,41351.74584,41351.81554,40.85916289,-73.90557257
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,41349.61566,41349.70429,,
Fire-2nd Alarm,701 East 219th Street,Bronx,41349.15596,41349.24061,40.88350739,-73.8625026
Fire-Collapse,437 Beach 7 Street,Queens,41346.44962,41346.52698,40.71400364,-73.82998933
Fire-5th Alarm,60-15 Main Street,Queens,41344.6842,41345.88506,40.71400364,-73.82998933
Fire-10-76 (Commercial High Rise Fire),1301 6 Avenue,Manhattan,41345.47963,41345.54741,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,4 West 93rd Street,Manhattan,41345.4216,41345.47581,40.71442154,-74.00607638
Fire-3rd Alarm,68 Driggs Street,Staten Island,41338.17427,41345.43938,40.54194657,-74.1488719
Law Enforcement-Suspicious Package,2 Penn Plaza,Manhattan,41344.79032,41344.80164,40.71442154,-74.00607638
Law Enforcement-Other,1090 Coney Island Avenue,Brooklyn,41342.36916,41342.42421,40.63105162,-73.96646471
Fire-4th Alarm,657 Crotona Park North,Bronx,41338.77839,41342.41907,40.84251557,-73.89461655
Law Enforcement-Other,Eastern Parkway & Kingston Avenue,Brooklyn,41341.40611,41341.57709,40.66919309,-73.94221688
Law Enforcement-Device,104-44 164 Place,Queens,41340.26903,41340.31487,,
Law Enforcement-Device,104-44 164 Place,Queens,41340.26903,41340.30519,,
Fire-2nd Alarm,88 prospect park west,Brooklyn,41336.89321,41339.44354,40.66733562,-73.97463035
Fire-10-77 (Residential High Rise Fire),22 e 38 st,New York City,41339.07609,41339.11524,40.75021467,-73.98102954
Fire-2nd Alarm,4111 Bronxwood Avenue,Bronx,41338.31457,41338.41953,,
Fire-1st Alarm,241 Rockaway Avenue,Brooklyn,41337.3297,41337.44042,40.67437684,-73.91106456
Law Enforcement-Device,23 East 81st Street,Manhattan,41336.48444,41336.50081,,
Fire-4th Alarm,1342 College Avenue,Bronx,41333.57892,41336.22433,40.83625316,-73.91128252
Law Enforcement-Other,901 Classon Ave,Brooklyn,41335.4989,41335.94913,,
Fire-10-76 (Commercial High Rise Fire),390 Madison Avenue,Manhattan,41334.98722,41335.54486,40.71442154,-74.00607638
Fire-10-77 (Residential High Rise Fire),1 Central Park West,Manhattan,41335.19726,41335.27705,40.71442154,-74.00607638
Fire-2nd Alarm,96-01 Liberty Avenue,Queens,41334.45778,41334.53541,40.71400364,-73.82998933
Law Enforcement-Device,237 7 Avenue,Brooklyn,41334.50772,41334.53461,40.66976016,-73.97912707
Law Enforcement-Other,2839 Bedford Avenue,Brooklyn,41332.46606,41332.52663,,
Fire-4th Alarm,511 Amsterdam Avenue,Manhattan,41328.76464,41329.65591,40.71442154,-74.00607638
Fire-1st Alarm,2800 Victory Blvd,Staten Island,41327.41041,41327.46883,40.60874548,-74.15378313
Fire-1st Alarm,,Bronx,41326.94538,41326.99023,,
Fire-Other,West 31 Street  & 7 Avenue,Manhattan,41325.72887,41325.73997,40.71442154,-74.00607638
Fire-10-76 (Commercial High Rise Fire),723 7th Avenue,Manhattan,41325.21365,41325.37063,40.71442154,-74.00607638
Fire-2nd Alarm,423 Broadway,Brooklyn,41325.20382,41325.36285,40.70685677,-73.95330117
Law Enforcement-Suspicious Package,,Manhattan,41324.20838,41324.23807,,
Fire-Collapse,3000 Jerome Avenue,Bronx,41323.26528,41323.54009,40.87410853,-73.88906744
Fire-2nd Alarm,43-23 Colden Street,Queens,41321.87838,41321.93979,40.71400364,-73.82998933
Fire-10-76 (Commercial High Rise Fire),1535 Broadway,Manhattan,41321.29839,41321.3483,40.71442154,-74.00607638
Fire-2nd Alarm,657 East 39 Street,Brooklyn,41320.511,41320.59407,40.6409843,-73.93982527
Fire-2nd Alarm,690 10th Avenue,Manhattan,41319.4897,41319.65998,,
Fire-1st Alarm,145-113 Guy R Brewer Blvd,Queens,41318.21221,41318.69966,40.71400364,-73.82998933
Fire-2nd Alarm,419 Myrtle Avenue,Brooklyn,41318.48029,41318.53782,40.69312795,-73.96904986
Fire-Manhole,26 Carroll Street,Brooklyn,41318.3106,41318.41323,40.68333397,-74.00484807
Law Enforcement-Device,108 Street & Jewel Avenue,Queens,41317.55094,41317.57789,40.71400364,-73.82998933
Fire-2nd Alarm,,Brooklyn,41316.22193,41316.30354,,
Fire-10-76 (Commercial High Rise Fire),270-05 76 AVenue,Queens,41315.38479,41315.4769,40.71400364,-73.82998933
Fire-2nd Alarm,537 East 187 Street,Bronx,41314.40318,41314.53083,,
Fire-3rd Alarm,1028 Post Avenue,Staten Island,41313.30046,41313.45145,40.6331659,-74.13476545
Fire-4th Alarm,1594 2 Avenue,Manhattan,41312.42888,41313.20222,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,Broadway & Murray Street,Manhattan,41312.49598,41312.52073,40.71320592,-74.0983238
Fire-2nd Alarm,41-45 70 Street,Queens,41309.27674,41309.34402,40.71400364,-73.82998933
Fire-2nd Alarm,253 Halsey Street,Brooklyn,41308.38354,41308.43341,40.68260784,-73.94294424
Fire-2nd Alarm,2438 PROSPECT AVE,Bronx,41303.80501,41303.91877,40.85471521,-73.88216049
Fire-2nd Alarm,372 Oak Avenue,Staten Island,41303.24918,41303.35642,40.56174899,-74.11777313
Fire-3rd Alarm,82 Van Buren Street,Staten Island,41302.79469,41303.05159,40.64495411,-74.09172462
Fire-2nd Alarm,18 amsterdam place,Staten Island,41302.61883,41302.69697,40.60035899,-74.16371025
Fire-10-76 (Commercial High Rise Fire),8 Pennsylvania Plaza,Manhattan,41302.51253,41302.54453,40.71442154,-74.00607638
Fire-2nd Alarm,88-21 132 Street,Queens,41302.44753,41302.48128,40.71400364,-73.82998933
Fire-2nd Alarm,1669 Coleman Street,Brooklyn,41301.21205,41301.27672,40.6173531,-73.93360016
Fire-4th Alarm,135-42 Roosevelt Avenue,Queens,41298.59725,41299.76418,40.71400364,-73.82998933
Fire-3rd Alarm,35 Winthrop Street,Brooklyn,41297.84244,41298.08473,40.65656749,-73.95897266
Fire-1st Alarm,45 Wadsworth Terrace,Manhattan,41296.81986,41297.16215,40.71442154,-74.00607638
Fire-2nd Alarm,149-50 Ash Avenue,Queens,41294.53037,41294.69972,40.71400364,-73.82998933
Fire-4th Alarm,3026 Veterans Road West,Staten Island,41294.44209,41294.57228,40.52805807,-74.2361494
Law Enforcement-Suspicious Package,Broadway & Cedar Street,Manhattan,41293.76743,41293.80412,,
Law Enforcement-Device,335 York Ave,Staten Island,41292.56692,41292.62424,40.63823702,-74.08815826
Fire-10-77 (Residential High Rise Fire),1774 3 Avenue,Manhattan,41289.38069,41290.40549,40.71442154,-74.00607638
Fire-10-77 (Residential High Rise Fire),170 West 74 Street,Manhattan,41289.44803,41289.45354,40.71442154,-74.00607638
Fire-2nd Alarm,2350 Beaumont Avenue,Bronx,41289.2672,41289.36066,40.85369537,-73.88465007
Law Enforcement-Suspicious Package,100 Attorney Street,Manhattan,41287.42021,41287.45272,40.71442154,-74.00607638
Fire-3rd Alarm,10-46 Dickens Street,Queens,41285.44301,41285.54174,40.71400364,-73.82998933
Fire-2nd Alarm,739 Park Avenue,Brooklyn,41284.71873,41284.8312,40.69799755,-73.946104
Fire-Haz Mat,108-20 62 Drive,Queens,41284.66236,41284.77935,40.71400364,-73.82998933
Fire-5th Alarm,891 East 135th Street,Bronx,41284.06094,41284.44543,40.80080578,-73.90976616
Fire-3rd Alarm,420 Evergreen Ave,Brooklyn,41282.65498,41282.86742,40.69303471,-73.92182244
Fire-10-76 (Commercial High Rise Fire),9 East 40 Street,Manhattan,41281.94208,41282.00171,40.71442154,-74.00607638
Fire-3rd Alarm,15 Pleasant Place,Brooklyn,41281.53079,41281.858,40.67695733,-73.90992467
Fire-3rd Alarm,866 Morris  Park Avenue,Bronx,41279.1125,41279.64716,40.84642361,-73.86021233
Fire-2nd Alarm,189 Moffat St,Brooklyn,41277.64336,41277.76463,40.68792267,-73.90609239
Fire-Manhole,west 85th street & central park west,Manhattan,41277.32123,41277.49484,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,Livingston Ave & Harold St,Staten Island,41276.62501,41276.67735,40.60159329,-74.1284363
Fire-2nd Alarm,110-02 153 Street,Queens,41276.20679,41276.30507,40.71400364,-73.82998933
Fire-1st Alarm,151 West 100 Street,Manhattan,41265.56723,41274.05622,40.71442154,-74.00607638
Fire-5th Alarm,77-49 Vleigh Place,Queens,41272.78134,41273.86086,40.71400364,-73.82998933
Fire-2nd Alarm,252 Heberton Avenm,Staten Island,41273.55366,41273.59715,40.6344678,-74.13300782
Fire-Sensitive Location,357 Marcus Garvey Boulevard,Brooklyn,41273.18314,41273.21664,40.68491676,-73.93838584
Law Enforcement-Suspicious Package,301 East 63 Street,Manhattan,41272.69498,41272.7563,40.71442154,-74.00607638
Fire-2nd Alarm,325 Ralph Avenue,Brooklyn,41271.79993,41271.9039,40.67791657,-73.92169423
Fire-2nd Alarm,961 East 173 Street,Bronx,41270.70855,41270.76994,40.83471699,-73.88577248
Fire-2nd Alarm,1018 University Avenue,Bronx,41270.35723,41270.56958,40.83403584,-73.93057738
Law Enforcement-Device,Bay Ridge Avenue & 3rd Avenue,Brooklyn,41270.50573,41270.51646,,
Law Enforcement-Suspicious Package,725 5 Avenue,Manhattan,41269.69741,41269.74435,40.71442154,-74.00607638
Fire-1st Alarm,126 West 53rd Street,Manhattan,41267.94648,41269.5131,40.71442154,-74.00607638
Fire-2nd Alarm,122 Lexington Ave,Manhattan,41268.72639,41268.82873,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,West 51 Street  & 5 Avenue,Manhattan,41265.81616,41265.83769,40.71442154,-74.00607638
Fire-4th Alarm,515 West 50 Street,Manhattan,41264.71742,41265.20225,40.71442154,-74.00607638
Fire-2nd Alarm,450 X Avenue,Brooklyn,41263.90971,41264.00016,40.59092917,-73.96630208
Fire-2nd Alarm,155-26 115 Avenue,Queens,41259.37781,41262.40716,,
Fire-2nd Alarm,53-09 Beach Channel Drive,Queens,41260.74487,41261.42836,40.59508345,-73.78400536
Fire-2nd Alarm,112 Taylor STreet,Staten Island,41258.19859,41261.35078,40.63617531,-74.12338634
Fire-10-76 (Commercial High Rise Fire),1855 Broadway,Manhattan,41260.94964,41261.14509,40.71442154,-74.00607638
Fire-2nd Alarm,152 23 Street,Brooklyn,41260.1544,41260.56539,40.66208512,-73.99773598
Fire-1st Alarm,3701 White Plains Road,Bronx,41259.53078,41260.02392,40.88175093,-73.86439426
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,41257.71218,41258.45574,40.60467676,-73.97901518
Fire-2nd Alarm,24 Charles Street,Manhattan,41256.93492,41258.44176,40.71442154,-74.00607638
Fire-2nd Alarm,560 1st Avenue,Manhattan,41256.50816,41256.56304,,
Fire-10-77 (Residential High Rise Fire),260 Mother GAston Blouevard,Brooklyn,41256.37116,41256.44433,40.67298286,-73.90775561
Fire-4th Alarm,2854 Briggs Avenue,Bronx,41255.48019,41255.71513,40.86931585,-73.88867582
Law Enforcement-Suspicious Package,,Brooklyn,41254.87277,41255.06066,,
Fire-2nd Alarm,1925 Adam Clayton Powell Jr Blvd,Manhattan,41253.54676,41254.19674,40.71442154,-74.00607638
Fire-2nd Alarm,431 Loretto Street,Staten Island,41253.06902,41253.17248,,
Law Enforcement-Other,652 Union Street,Brooklyn,41253.02663,41253.06166,40.6769247,-73.98187073
Fire-Other,1322 Bedford Avenue,Brooklyn,41252.34662,41252.51911,40.67820963,-73.9529089
Fire-Other,74-03 34th Avenue,Queens,41251.50031,41251.53186,40.71400364,-73.82998933
Fire-School,417 Troy Avenue,Brooklyn,41251.38333,41251.41257,40.66418775,-73.93707461
Fire-2nd Alarm,157-11 Sanford Avenue,Queens,41250.20743,41250.38525,40.71400364,-73.82998933
Fire-Other,,Bronx,41249.53141,41250.22623,,
Law Enforcement-Suspicious Package,Mill Road & New Dorp Lane,Staten Island,41244.4608,41244.50856,40.56879199,-74.10656877
Medical-Other,,Brooklyn,41242.61507,41242.67603,,
Fire-1st Alarm,911 Flatbush Avenue,Brooklyn,41242.49472,41242.52017,,
Fire-3rd Alarm,581 3 ave,New York City,41242.0178,41242.44797,40.6674897,-73.994286
Fire-3rd Alarm,581 3 ave,New York City,41242.0178,41242.1822,40.6674897,-73.994286
Fire-2nd Alarm,1604 Prospect Place,Brooklyn,41241.77907,41241.86282,40.67284153,-73.92334742
Fire-3rd Alarm,1038 Southern Blvd,Bronx,41239.85608,41241.44339,40.82392414,-73.8918251
Fire-2nd Alarm,851 East 219 St,Bronx,41240.65845,41240.80343,40.88207728,-73.85803161
Fire-1st Alarm,150-05 Cohancy Street,Queens,41232.5441,41240.41166,40.71400364,-73.82998933
Law Enforcement-Suspicious Package,Lafayette Street & Leonard Street,Manhattan,41240.02321,41240.04399,,
Fire-2nd Alarm,238 East 24 Street,Manhattan,41237.17094,41238.79505,40.71442154,-74.00607638
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,41238.24008,41238.32185,,
Fire-6th Alarm,324 East 93rd,Manhattan,41208.15296,41235.41763,40.71442154,-74.00607638
Fire-2nd Alarm,119-56 Long Street,Queens,41233.21928,41233.34831,40.71400364,-73.82998933
Law Enforcement-Device,,Brooklyn,41232.75075,41232.80572,,
Law Enforcement-Device,10th Street & 5th Avenue,Brooklyn,41232.50681,41232.56914,40.69245067,-73.99035623
Law Enforcement-Other,,Brooklyn,41210.73296,41229.84668,,
Law Enforcement-Suspicious Package,JFK AIrport,Queens,41226.47626,41226.53829,40.64384687,-73.78029487
Fire-10-77 (Residential High Rise Fire),,Brooklyn,41224.59668,41224.67571,,
Fire-3rd Alarm,,Brooklyn,41213.86417,41223.48984,,
Fire-Collapse,1516 Fulton Street,Brooklyn,41216.49942,41221.59736,,
Fire-6th Alarm,9 West 29 Street,Manhattan,41211.06073,41221.43529,40.78035675,-73.96563279
Fire-6th Alarm,9 West 29 Street,Manhattan,41211.06073,41220.53105,40.78035675,-73.96563279
Fire-1st Alarm,,Brooklyn,41219.7152,41219.83995,,
Law Enforcement-Other,,Brooklyn,41210.73296,41219.75507,,
Fire-10-77 (Residential High Rise Fire),72 Columbia Street,Manhattan,41219.52836,41219.53421,,
Law Enforcement-Suspicious Package,West 124 Street & Mt. Morris Park West,Manhattan,41218.37753,41218.40128,,
Law Enforcement-Suspicious Package,East 40 Street & 5 Avenue,Manhattan,41218.25822,41218.29115,,
Law Enforcement-Other,147-65 249 Street,Queens,41215.58193,41215.6234,,
Medical-Other,5105 Fort Hamilton Parkway,Brooklyn,41214.46525,41214.63458,,
Fire-2nd Alarm,100 Graham Blvd,Staten Island,41213.714,41213.81973,,
Law Enforcement-Suspicious Package,West 14 Street & 7 Avenue,Manhattan,41213.55859,41213.56749,,
Law Enforcement-Suspicious Package,217 Street & 77 Avenue,Queens,41212.40514,41212.44264,,
Law Enforcement-Suspicious Package,Bell Boulevard  & Grand Central Parkway,Queens,41211.66521,41211.71759,,
Fire-2nd Alarm,549 Beach 68 Street,Queens,41210.0141,41210.09679,40.74862862,-73.98568615
Law Enforcement-Other,621 West 48 st,Manhattan,41209.58023,41209.61546,,
Fire-3rd Alarm,,Manhattan,41207.99178,41209.21516,,
Fire-2nd Alarm,,Queens,41208.94036,41209.01602,,
Law Enforcement-Suspicious Package,1 pierrepont Place,Brooklyn,41202.90947,41208.60873,,
Fire-2nd Alarm,223 East 37 Street,Brooklyn,41208.48942,41208.55199,,
Law Enforcement-Device,1334 47th Street,Brooklyn,41208.5059,41208.53598,,
Fire-Commercial,,Brooklyn,41207.83647,41207.9391,,
Fire-1st Alarm,953 49 Street,Brooklyn,41206.37397,41206.45851,,
Fire-2nd Alarm,,Brooklyn,41206.06118,41206.18889,,
Fire-1st Alarm,325 East 104 Street,Manhattan,41203.48904,41204.08384,,
Fire-2nd Alarm,,Brooklyn,41201.11797,41201.91157,,
Fire-2nd Alarm,,Brooklyn,41201.06302,41201.25477,,
Law Enforcement-Suspicious Package,,Brooklyn,41201.12125,41201.16344,,
Law Enforcement-Explosion,300 West 234 Street,Bronx,41178.31678,41199.43044,,
Fire-10-76 (Commercial High Rise Fire),51 West 52 Street,Manhattan,41194.26575,41197.29354,,
Law Enforcement-Suspicious Package,71st Avenue & Continential Avenue,Queens,41194.43479,41194.49434,,
Law Enforcement-Suspicious Package,,Brooklyn,41191.36603,41191.38882,,
Fire-1st Alarm,25 Junius Street,Brooklyn,41191.3202,41191.38023,,
Fire-2nd Alarm,162-05 89 Avenue,Queens,41184.67131,41190.4651,,
Fire-1st Alarm,,Brooklyn,41187.41072,41187.47411,,
Fire-Collapse,339 Hicks Street,Brooklyn,41186.55589,41186.57038,,
Law Enforcement-Suspicious Package,350 Jay Street,Brooklyn,41186.39436,41186.48449,,
Fire-2nd Alarm,1350 5 Avenue,Manhattan,41184.81399,41184.89328,,
Law Enforcement-Haz Mat,,Brooklyn,41178.61946,41184.73692,,
Fire-2nd Alarm,144-01 Rockaway Boulevard,Queens,41184.55933,41184.69645,,
Law Enforcement-Suspicious Package,2132 Starling Avenue,Bronx,41184.61911,41184.67814,,
Law Enforcement-Device,52 Avenue  & 92 Street,Queens,41182.59939,41182.653,,
Fire-3rd Alarm,102-11 Atlantic Avenue,Queens,41182.0197,41182.33456,40.68995529,-73.84254431
Fire-3rd Alarm,102-11 Atlantic Avenue,Queens,41182.0197,41182.18571,40.68995529,-73.84254431
Law Enforcement-Suspicious Package,121 Dekalb avenue,Brooklyn,41181.32757,41181.42326,40.68978085,-73.97753885
Law Enforcement-Suspicious Package,107-11 Van Wyck Expressway,Queens,41180.12334,41180.16066,40.64247915,-73.76906759
Fire-2nd Alarm,144-04 157 Street,Queens,41179.76567,41179.80782,,
Law Enforcement-Device,10 Sunnymeade Village,Staten Island,41177.99252,41178.01774,,
Fire-2nd Alarm,104 Hill Street,Brooklyn,41172.09237,41177.94404,,
Law Enforcement-Suspicious Package,Broadway  & West 168 street,Manhattan,41177.81113,41177.90887,,
Law Enforcement-Suspicious Package,,Brooklyn,41177.79403,41177.8388,,
Law Enforcement-Suspicious Package,,Brooklyn,41177.75266,41177.78617,,
Fire-2nd Alarm,74 Vancortland Park South,Bronx,41177.44025,41177.52971,,
Law Enforcement-Suspicious Package,23 Street & 10 Avenue,Manhattan,41176.5977,41176.61628,,
Fire-Haz Mat,30 Avenue D,Manhattan,41176.59491,41176.61125,,
Law Enforcement-Suspicious Package,Central Park West & West 83 Street,Manhattan,41175.77653,41175.78345,40.78789547,-73.96288621
Law Enforcement-Other,,Brooklyn,41173.98926,41174.90678,,
Law Enforcement-Suspicious Package,,Brooklyn,41174.84777,41174.86128,,
Law Enforcement-Suspicious Package,,Brooklyn,41172.77182,41172.81179,,
Law Enforcement-Suspicious Package,,Brooklyn,41172.79525,41172.80725,,
Fire-Explosion,167-02 Baisley Avenue,Queens,41172.60756,41172.65271,,
Law Enforcement-Suspicious Package,FDR Drive & East 51 Street,Brooklyn,41172.45003,41172.45347,,
Law Enforcement-Suspicious Package,west 42 street  & 7 avenue,Brooklyn,41172.37137,41172.44095,,
Law Enforcement-Suspicious Package,42-09 28 Street,Queens,41172.4209,41172.43959,,
Law Enforcement-Suspicious Package,Dry Harbor Road & Penelope Avenue,Queens,41172.16601,41172.20896,40.67290217,-73.75483262
Fire-Explosion,135 West 23 Street,Manhattan,41168.86463,41171.99663,40.74338531,-73.99391556
Law Enforcement-Suspicious Package,,Brooklyn,41171.86684,41171.9014,,
Law Enforcement-Suspicious Package,,Brooklyn,41171.64391,41171.68089,,
Law Enforcement-Suspicious Package,195 Avenue A,Manhattan,41171.45372,41171.49513,,
Law Enforcement-Suspicious Package,508 West 26,Manhattan,41171.46487,41171.48384,,
Law Enforcement-Suspicious Package,Crescent Street  & Jamaica Avenue,Brooklyn,41170.35984,41170.40145,,
Law Enforcement-Suspicious Package,60 East 13th Street,Manhattan,41170.2451,41170.28722,,
Law Enforcement-Suspicious Package,944 Bedford Avenue,Brooklyn,41169.78875,41169.8201,,
Law Enforcement-Suspicious Package,New Utrecht Avenue & 54 Street,Brooklyn,41169.7313,41169.74186,,
Law Enforcement-Device,2342 East 15 Street,Brooklyn,41165.65497,41165.68606,,
Law Enforcement-Suspicious Package,,Brooklyn,41164.13749,41164.16806,,
Fire-2nd Alarm,219 Gansevoort Boulevard,Staten Island,41162.77116,41162.8183,40.60689999,-74.12702943
Law Enforcement-Suspicious Package,157 Rockaway Beach Boulevard,Queens,41161.81992,41161.88645,40.56687536,-73.87059918
Fire-2nd Alarm,2205 Davidson Avenue,Bronx,41160.73571,41160.95839,,
Fire-10-77 (Residential High Rise Fire),481 8th Avenue,Manhattan,41160.69872,41160.71929,,
Fire-Manhole,530 Putnam Avenue,Brooklyn,41159.93137,41160.70245,40.68378946,-73.95206027
Law Enforcement-Suspicious Package,West 70 Street & Broadway,Manhattan,41156.84744,41156.89529,40.77709502,-73.98210212
Fire-10-76 (Commercial High Rise Fire),,Brooklyn,41156.16782,41156.19938,,
Fire-4th Alarm,879 Lafayette Avenue,Brooklyn,41154.93747,41155.14928,40.69146515,-73.93761636
Fire-1st Alarm,,Brooklyn,41146.78662,41146.86435,,
Fire-2nd Alarm,1382 Crotona Avenue,Bronx,41146.49262,41146.65047,40.83300528,-73.89802606
Fire-2nd Alarm,71-66 69th Street c/s Myrtle Ave,Queens,41145.86292,41145.9811,,
Fire-2nd Alarm,72-36 66th Drive,Queens,41145.84678,41145.91796,,
Fire-Sensitive Location,,Brooklyn,41145.71142,41145.82134,,
Fire-High Rise,152 w 52 Street,New York City,41145.50508,41145.57507,40.76200435,-73.98156831
Fire-10-77 (Residential High Rise Fire),117 West 70 Street,Manhattan,41143.54094,41143.57322,40.77636188,-73.98033313
Fire-6th Alarm,228 Benziger Avenue,Staten Island,41138.769,41143.56378,40.63941196,-74.08558629
Fire-Manhole,West 14 Street & 6 Avenue,Manhattan,41142.65247,41142.84236,40.73736069,-73.99683898
Fire-2nd Alarm,140-36 169 Street,Queens,41142.47933,41142.56608,40.67061066,-73.7709792
Fire-2nd Alarm,4832 Bay Parkway,Brooklyn,41142.16117,41142.22597,40.62295828,-73.97338989
Law Enforcement-Haz Mat,,Brooklyn,41141.78539,41141.86858,,
Fire-1st Alarm,1226 Seneca Ave,Bronx,41140.60736,41141.54293,40.8186584,-73.88885325
Fire-Sensitive Location,30-03 30 Drive,Queens,41141.4183,41141.47627,40.76554853,-73.92340298
Fire-Manhole,East 112 Street & 2 Avenue,Manhattan,41139.93175,41139.95626,40.79446574,-73.939629
Law Enforcement-Other,150 Greenwich Street,Queens,41134.90244,41135.0965,40.71051084,-74.01252358
Fire-2nd Alarm,221-24 111 Ave,Queens,41133.71226,41134.42446,40.7061335,-73.73511018
Law Enforcement-Suspicious Package,Pelham Parkway & Shore Road,Bronx,41130.42328,41130.46429,40.85924521,-73.81812844
Fire-4th Alarm,636 East 235th Street,Bronx,41129.53446,41130.36559,40.89550438,-73.85856207
Fire-1st Alarm,2105 1 Avenue,Manhattan,41129.94594,41130.09825,40.79100708,-73.93906876
Fire-10-76 (Commercial High Rise Fire),30 Broad Street,Manhattan,41129.43902,41129.50793,40.70617973,-74.01124957
Law Enforcement-Suspicious Package,West 236 Street & Oxford Avenue,Bronx,41128.58822,41128.61594,40.88649472,-73.90869608
Fire-Other,100 Centre Street,Manhattan,41125.52596,41128.39693,40.71608337,-74.00142489
Fire-5th Alarm,43-34 37 Street,Queens,41123.81403,41126.49273,40.74535824,-73.92776049
