Borough,Measurement,    Total population,      Male,      Female,      Sex ratio (males per 100 females),      Under 5 years,      5 to 9 years,      10 to 14 years,      15 to 19 years,      20 to 24 years,      25 to 34 years,      35 to 44 years,      45 to 54 years,      55 to 59 years,      60 to 64 years,      65 to 74 years,      75 to 84 years,      85 years and over,      Median age (years),      Under 18 years,      16 years and over,      18 years and over,      21 years and over,      62 years and over,      65 years and over,      18 years and over,        Male,        Female,        Sex ratio (males per 100 females),      65 years and over,        Male,        Female,        Sex ratio (males per 100 females),    Total population,      One race,      Two or more races,      One race,        White,        Black or African American,        American Indian and Alaska Native,          Cherokee tribal grouping,          Chippewa tribal grouping,          Navajo tribal grouping,          Sioux tribal grouping,        Asian,          Asian Indian,          Chinese,          Filipino,          Japanese,          Korean,          Vietnamese,          Other Asian,        Native Hawaiian and Other Pacific Islander,          Native Hawaiian,          Guamanian or Chamorro,          Samoan,          Other Pacific Islander,        Some other race,      Two or more races,        White and Black or African American,        White and American Indian and Alaska Native,        White and Asian,        Black or African American and American Indian and Alaska Native,    Total population,      White,      Black or African American,      American Indian and Alaska Native,      Asian,      Native Hawaiian and Other Pacific Islander,      Some other race,    Total population,      Hispanic or Latino (of any race),        Mexican,        Puerto Rican,        Cuban,        Other Hispanic or Latino,      Not Hispanic or Latino,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some other race alone,        Two or more races,          Two races including Some other race,"          Two races excluding Some other race, and Three or more races",  Total housing units,"    Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION Male","CITIZEN, VOTING AGE POPULATION Female"
New York City,Estimate,"8,622,698","4,112,539","4,510,159",91.2,"552,576","475,122","482,943","460,028","575,248","1,551,985","1,179,578","1,100,164","518,681","490,744","694,522","372,506","168,601",36.6,"1,789,069","7,020,073","6,833,629","6,547,618","1,513,527","1,235,629","6,833,629","3,200,387","3,633,242",88.1,"1,235,629","506,468","729,161",69.5,"8,622,698","8,329,402","293,296","8,329,402","3,635,789","2,094,132","35,124",0,0,0,0,"1,252,589","246,454","628,763","72,273","23,293","82,114","17,470","182,222","4,501","1,051",655,"1,141","1,654","1,307,267","293,296","66,182","15,395","63,994","12,146","8,622,698","3,833,296","2,230,270","98,674","1,354,010","17,544","1,406,807","8,622,698","2,517,429","335,592","708,015","36,014","1,437,808","6,105,269","2,733,369","1,879,876","13,835","1,241,650","2,119","77,127","157,293","21,704","135,589","3,497,344","5,530,640","2,555,810","2,974,830"
Bronx ,Estimate,"1,471,160","693,457","777,703",89.2,"105,951","99,466","99,944","99,561","112,967","237,759","186,598","187,140","83,330","76,736","101,848","53,465","26,395",34,"365,215","1,147,618","1,105,945","1,041,995","225,684","181,708","1,105,945","507,663","598,282",84.9,"181,708","70,894","110,814",64,"1,471,160","1,423,239","47,921","1,423,239","328,383","517,433","12,908",0,0,0,0,"57,247","19,161","7,003","6,443",549,"2,126","3,890","18,075","1,570",N,N,N,N,"505,698","47,921","13,153","2,151","3,202","2,325","1,471,160","357,378","549,919","22,595","65,614","4,273","525,124","1,471,160","826,176","73,433","273,692","7,630","471,421","644,984","133,860","427,065","3,425","56,084",374,"10,039","14,137","1,554","12,583","528,851","866,148","390,165","475,983"
Brooklyn,Estimate,"2,648,771","1,254,273","1,394,498",89.9,"193,410","157,254","164,125","142,570","170,552","488,903","367,676","314,923","146,795","145,580","201,842","110,108","45,033",35.2,"605,465","2,102,940","2,043,306","1,963,057","439,769","356,983","2,043,306","945,123","1,098,183",86.1,"356,983","145,332","211,651",68.7,"2,648,771","2,569,442","79,329","2,569,442","1,145,345","850,150","7,169",0,0,0,0,"324,552","34,566","215,427","7,389","4,792","10,028","4,986","47,364",711,N,N,N,N,"241,515","79,329","16,058","4,912","25,512","4,269","2,648,771","1,205,577","884,166","21,695","359,937","3,577","260,085","2,648,771","506,635","108,259","162,890","8,219","227,267","2,142,136","953,966","797,259","3,023","322,570",545,"11,322","53,451","3,720","49,731","1,044,287","1,693,991","774,849","919,142"
Manhattan,Estimate,"1,664,727","789,155","875,572",90.1,"80,023","63,553","61,406","69,415","117,061","374,994","238,266","206,436","98,118","89,232","146,448","81,027","38,748",37.3,"239,573","1,448,507","1,425,154","1,373,145","314,061","266,223","1,425,154","668,519","756,635",88.4,"266,223","108,553","157,670",68.8,"1,664,727","1,586,248","78,479","1,586,248","925,117","247,139","4,847",0,0,0,0,"207,799","32,288","120,670","11,362","11,316","18,088","2,699","11,376",934,N,N,N,N,"200,412","78,479","21,455","2,840","17,885","3,356","1,664,727","976,170","282,382","29,968","230,248","2,555","227,085","1,664,727","435,002","51,512","117,327","10,936","255,227","1,229,725","773,792","205,568","1,916","205,492",372,"6,971","35,614","2,309","33,305","886,384","1,198,037","552,661","645,376"
Queens,Estimate,"2,358,582","1,143,636","1,214,946",94.1,"145,810","126,683","126,754","120,578","143,455","386,253","325,972","324,000","158,780","145,343","199,008","106,465","49,481",38.7,"473,974","1,933,721","1,884,608","1,809,640","438,082","354,954","1,884,608","900,671","983,937",91.5,"354,954","149,160","205,794",72.5,"2,358,582","2,280,420","78,162","2,280,420","885,312","427,999","9,181",0,0,0,0,"617,230","152,887","262,592","43,275","6,601","48,362","4,864","98,649","1,286",N,N,N,N,"339,412","78,162","13,023","4,478","15,812","2,086","2,358,582","935,255","458,223","21,244","649,655","5,958","371,652","2,358,582","660,550","83,808","111,560","8,513","456,669","1,698,032","580,529","404,080","4,895","611,925",828,"48,191","47,584","12,597","34,987","857,250","1,436,762","678,618","758,144"
Staten Island,Estimate,"479,458","232,018","247,440",93.8,"27,382","28,166","30,714","27,904","31,213","64,076","61,066","67,665","31,658","33,853","45,376","21,441","8,944",40.4,"104,842","387,287","374,616","359,781","95,931","75,761","374,616","178,411","196,205",90.9,"75,761","32,529","43,232",75.2,"479,458","470,053","9,405","470,053","351,632","51,411","1,019",0,0,0,0,"45,761","7,552","23,071","3,804",35,"3,510","1,031","6,758",0,N,N,N,N,"20,230","9,405","2,493","1,014","1,583",110,"479,458","358,916","55,580","3,172","48,556",N,"22,861","479,458","89,066","18,580","42,546",716,"27,224","390,392","291,222","45,904",576,"45,579",0,604,"6,507","1,524","4,983","180,572","335,702","159,517","176,185"
